# time,control output,box humidity,box temp,outside humidity,outside temp,heater 1 temp,heater 2 temp,P,I,D,SP,Err
4.713721776008605957e+01,1.000000000000000000e+02,1.300000000000000000e+01,2.400000000000000000e+01,1.700000000000000000e+01,2.000000000000000000e+01,3.895000000000000284e+01,3.778999999999999915e+01,8.640000000000000568e+00,8.657670248275915748e-02,-0.000000000000000000e+00,3.000000000000000000e+01,0.000000000000000000e+00
5.088941287994384766e+01,1.000000000000000000e+02,1.300000000000000000e+01,2.400000000000000000e+01,1.360000000000000000e+02,1.000000000000000000e+01,4.085000000000000142e+01,3.932999999999999829e+01,8.640000000000000568e+00,1.460807292354231735e-01,-0.000000000000000000e+00,3.000000000000000000e+01,0.000000000000000000e+00
5.311469244956970215e+01,1.000000000000000000e+02,1.300000000000000000e+01,2.400000000000000000e+01,1.700000000000000000e+01,2.000000000000000000e+01,4.190999999999999659e+01,4.061999999999999744e+01,8.640000000000000568e+00,8.663474363666726075e-02,-0.000000000000000000e+00,3.000000000000000000e+01,0.000000000000000000e+00
5.687421941757202148e+01,1.000000000000000000e+02,1.300000000000000000e+01,2.400000000000000000e+01,1.700000000000000000e+01,2.000000000000000000e+01,4.378000000000000114e+01,4.220000000000000284e+01,8.640000000000000568e+00,1.463661732726823650e-01,-0.000000000000000000e+00,3.000000000000000000e+01,0.000000000000000000e+00
6.063347458839416504e+01,1.000000000000000000e+02,1.300000000000000000e+01,2.400000000000000000e+01,1.700000000000000000e+01,2.000000000000000000e+01,4.564999999999999858e+01,4.364999999999999858e+01,8.640000000000000568e+00,1.463555916453906369e-01,-0.000000000000000000e+00,3.000000000000000000e+01,0.000000000000000000e+00
6.285958480834960938e+01,1.000000000000000000e+02,1.300000000000000000e+01,2.400000000000000000e+01,1.360000000000000000e+02,1.000000000000000000e+01,4.664999999999999858e+01,4.461999999999999744e+01,8.640000000000000568e+00,8.666708257481148259e-02,-0.000000000000000000e+00,3.000000000000000000e+01,0.000000000000000000e+00
6.404572987556457520e+01,1.000000000000000000e+02,1.300000000000000000e+01,2.400000000000000000e+01,1.700000000000000000e+01,2.000000000000000000e+01,4.720000000000000284e+01,4.507000000000000028e+01,8.640000000000000568e+00,4.617908473915648820e-02,-0.000000000000000000e+00,3.000000000000000000e+01,0.000000000000000000e+00
6.522221994400024414e+01,1.000000000000000000e+02,1.300000000000000000e+01,2.400000000000000000e+01,1.700000000000000000e+01,2.000000000000000000e+01,4.784000000000000341e+01,4.571000000000000085e+01,8.640000000000000568e+00,4.580319563494053559e-02,-0.000000000000000000e+00,3.000000000000000000e+01,0.000000000000000000e+00
6.640078449249267578e+01,1.000000000000000000e+02,1.300000000000000000e+01,2.400000000000000000e+01,1.700000000000000000e+01,2.000000000000000000e+01,4.835999999999999943e+01,4.620000000000000284e+01,8.640000000000000568e+00,4.588395944113825980e-02,-0.000000000000000000e+00,3.000000000000000000e+01,0.000000000000000000e+00
6.757231593132019043e+01,1.000000000000000000e+02,1.300000000000000000e+01,2.400000000000000000e+01,1.700000000000000000e+01,2.000000000000000000e+01,4.889999999999999858e+01,4.652000000000000313e+01,8.640000000000000568e+00,4.561014591177076083e-02,-0.000000000000000000e+00,3.000000000000000000e+01,0.000000000000000000e+00
